No.,Timestamp,Sequence Number,Attribute,Status,Data Type,Data Value
1,1778534716,8,Active Power,Success,16-Bit Signed Integer,0
2,1778534716,8,RMS Current,Success,16-Bit Unsigned Integer,0
3,1778534716,8,RMS Voltage,Success,16-Bit Unsigned Integer,221
4,1778534718,145,Active Power,Success,16-Bit Signed Integer,0
5,1778534718,145,RMS Current,Success,16-Bit Unsigned Integer,0
6,1778534718,145,RMS Voltage,Success,16-Bit Unsigned Integer,220
7,1778534760,29,Active Power,Success,16-Bit Signed Integer,0
8,1778534760,29,RMS Current,Success,16-Bit Unsigned Integer,0
9,1778534760,29,RMS Voltage,Success,16-Bit Unsigned Integer,219
10,1778534765,58,RMS Voltage,,16-Bit Unsigned Integer,220
11,1778534767,176,Active Power,Success,16-Bit Signed Integer,0
12,1778534767,176,RMS Current,Success,16-Bit Unsigned Integer,0
13,1778534767,176,RMS Voltage,Success,16-Bit Unsigned Integer,219
14,1778534774,175,RMS Voltage,,16-Bit Unsigned Integer,219
15,1778534798,218,Active Power,Success,16-Bit Signed Integer,0
16,1778534798,218,RMS Current,Success,16-Bit Unsigned Integer,0
17,1778534798,218,RMS Voltage,Success,16-Bit Unsigned Integer,220
18,1778534809,139,Active Power,Success,16-Bit Signed Integer,0
19,1778534809,139,RMS Current,Success,16-Bit Unsigned Integer,0
20,1778534809,139,RMS Voltage,Success,16-Bit Unsigned Integer,221
21,1778534827,234,Active Power,Success,16-Bit Signed Integer,0
22,1778534827,234,RMS Current,Success,16-Bit Unsigned Integer,0
23,1778534827,234,RMS Voltage,Success,16-Bit Unsigned Integer,221
24,1778534828,175,RMS Voltage,,16-Bit Unsigned Integer,219
25,1778534839,70,Active Power,Success,16-Bit Signed Integer,0
26,1778534839,70,RMS Current,Success,16-Bit Unsigned Integer,0
27,1778534839,70,RMS Voltage,Success,16-Bit Unsigned Integer,219
28,1778534841,217,RMS Voltage,,16-Bit Unsigned Integer,221
29,1778534841,217,RMS Current,,16-Bit Unsigned Integer,0
30,1778534841,217,Active Power,,16-Bit Signed Integer,0
31,1778534843,241,Active Power,Success,16-Bit Signed Integer,0
32,1778534843,241,RMS Current,Success,16-Bit Unsigned Integer,0
33,1778534843,241,RMS Voltage,Success,16-Bit Unsigned Integer,221
34,1778534853,81,Active Power,Success,16-Bit Signed Integer,0
35,1778534853,81,RMS Current,Success,16-Bit Unsigned Integer,0
36,1778534853,81,RMS Voltage,Success,16-Bit Unsigned Integer,220
37,1778534855,252,Active Power,Success,16-Bit Signed Integer,0
38,1778534855,252,RMS Current,Success,16-Bit Unsigned Integer,0
39,1778534855,252,RMS Voltage,Success,16-Bit Unsigned Integer,219
40,1778534869,103,Active Power,Success,16-Bit Signed Integer,0
41,1778534869,103,RMS Current,Success,16-Bit Unsigned Integer,0
42,1778534869,103,RMS Voltage,Success,16-Bit Unsigned Integer,223
43,1778534887,232,Active Power,Success,16-Bit Signed Integer,0
44,1778534887,232,RMS Current,Success,16-Bit Unsigned Integer,0
45,1778534887,232,RMS Voltage,Success,16-Bit Unsigned Integer,222
